         2044106 function calls (2044077 primitive calls) in 1.430 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 base_events.py:100(_ipaddr_info)
        1    0.000    0.000    0.000    0.000 threading.py:468(acquire)
        1    0.000    0.000    0.000    0.000 threading.py:884(__init__)
        1    0.000    0.000    0.000    0.000 message.py:243(get_payload)
        1    0.000    0.000    0.000    0.000 threading.py:637(wait)
       52    0.000    0.000    0.000    0.000 connection.py:555(check_health)
      248    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        2    0.000    0.000    0.000    0.000 threading.py:424(notify_all)
      164    0.000    0.000    0.000    0.000 proactor_events.py:883(_process_events)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.000    0.000 threading.py:1045(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:757(normalize)
      144    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      118    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 futures.py:367(_chain_future)
        2    0.000    0.000    0.000    0.000 {method 'WSARecv' of '_overlapped.Overlapped' objects}
        8    0.000    0.000    0.000    0.000 enum.py:720(__call__)
      111    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 proactor_events.py:820(_write_to_self)
        1    0.000    0.000    0.000    0.000 proactor_events.py:616(_set_extra)
       52    0.000    0.000    0.000    0.000 transports.py:295(_maybe_resume_protocol)
        1    0.000    0.000    0.000    0.000 event.py:75(__init__)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:269(basename)
       86    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        3    0.000    0.000    0.000    0.000 threading.py:394(notify)
        3    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
       53    0.000    0.000    0.000    0.000 streams.py:486(_maybe_resume_transport)
        1    0.000    0.000    0.000    0.000 __init__.py:401(discover)
      100    0.000    0.000    0.000    0.000 backoff.py:13(reset)
        1    0.000    0.000    0.000    0.000 proactor_events.py:28(_set_socket_extra)
        1    0.000    0.000    0.000    0.000 pathlib.py:711(joinpath)
       50    0.000    0.000    0.000    0.000 connection.py:768(re_auth)
        1    0.000    0.000    0.000    0.000 threading.py:616(set)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:237(split)
        2    0.000    0.000    0.000    0.000 {built-in method _overlapped.CreateIoCompletionPort}
       50    0.000    0.000    0.000    0.000 client.py:425(initialize)
       47    0.000    0.000    0.000    0.000 message.py:515(set_raw)
       53    0.000    0.000    0.000    0.000 streams.py:164(_drain_helper)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.000    0.000 streams.py:191(__init__)
       49    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 threading.py:277(__init__)
     11/9    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
        1    0.000    0.000    0.000    0.000 feedparser.py:137(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _socket.inet_pton}
        1    0.000    0.000    0.000    0.000 {method 'send' of '_socket.socket' objects}
       10    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
        1    0.000    0.000    0.000    0.000 __init__.py:179(sub)
        1    0.000    0.000    0.000    0.000 socket.py:221(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:380(with_segments)
       31    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       50    0.000    0.000    0.000    0.000 event.py:152(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       11    0.000    0.000    0.000    0.000 threading.py:299(__enter__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.000    0.000 {built-in method nt.cpu_count}
        1    0.000    0.000    0.000    0.000 idna.py:308(getregentry)
        1    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
